City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.79,78,21,1.34,NZ,1738566108
1,khandyga,62.6667,135.6,-40.78,99,100,0.55,RU,1738566109
2,talnakh,69.4865,88.3972,-23.37,95,100,2.45,RU,1738566110
3,kaa-khem,51.6833,94.7333,-13.83,91,100,1.25,RU,1738566112
4,krasnovishersk,60.4078,57.082,-6.79,94,100,3.8,RU,1738566113
5,burang,30.25,81.1667,-0.28,35,0,2.89,CN,1738566114
6,usinsk,65.9939,57.5281,-20.01,80,0,6.94,RU,1738566115
7,college,64.8569,-147.8028,-11.01,51,100,0.0,US,1738566116
8,jamestown,42.097,-79.2353,0.57,99,100,3.09,US,1738565884
9,gangtok,27.3333,88.6167,18.1,52,4,2.87,IN,1738566119
10,constantia,44.1833,28.65,5.39,88,100,5.15,RO,1738566120
11,coquimbo,-29.9533,-71.3436,15.85,82,0,1.54,CL,1738566107
12,puerto natales,-51.7236,-72.4875,5.47,96,99,2.02,CL,1738566122
13,marka,1.7159,44.7717,28.26,53,12,9.93,SO,1738566123
14,grytviken,-54.2811,-36.5092,6.03,68,100,3.21,GS,1738566125
15,vorgashor,67.5833,63.95,-26.91,88,11,3.32,RU,1738566126
16,abidjan,5.3094,-4.0197,24.98,88,20,0.0,CI,1738566010
17,nar'yan-mar,67.6713,53.087,-26.68,88,5,4.37,RU,1738566129
18,lata,40.1629,-8.3327,3.02,86,0,2.6,PT,1738566130
19,port-aux-francais,-49.35,70.2167,3.95,75,52,11.89,TF,1738566131
20,port mathurin,-19.6833,63.4167,27.12,84,59,5.42,MU,1738566132
21,awjilah,29.1081,21.2869,16.81,33,100,1.67,LY,1738566013
22,carutapera,-1.195,-46.02,23.72,95,100,2.12,BR,1738566134
23,suntar,62.1444,117.6319,-23.09,86,100,4.54,RU,1738566136
24,adamstown,-25.066,-130.1015,24.24,77,100,8.35,PN,1738566137
25,arraial do cabo,-22.9661,-42.0278,23.61,92,100,8.51,BR,1738566138
26,sinop,41.7711,34.8709,7.99,65,100,1.84,TR,1738566139
27,sarikei,2.1167,111.5167,26.0,95,100,1.26,MY,1738566140
28,niafunke,15.9322,-3.9906,13.68,23,100,4.64,ML,1738566142
29,georgetown,5.4112,100.3354,30.96,58,20,4.63,MY,1738566143
30,turaif,31.6725,38.6637,5.14,48,0,3.09,SA,1738566144
31,hamilton,39.1834,-84.5333,7.17,91,75,3.6,US,1738566145
32,shigony,53.3875,48.6777,-0.63,98,100,3.65,RU,1738566146
33,ust-nera,64.5667,143.2,-43.04,99,77,1.93,RU,1738566147
34,rothenburg,51.3333,14.9667,0.45,90,33,0.61,DE,1738566149
35,vallegrande,-18.4897,-64.1069,13.26,86,0,0.29,BO,1738566150
36,maralal,1.0968,36.698,20.24,44,13,4.81,KE,1738566151
37,tsevie,6.4261,1.2133,25.49,82,8,1.69,TG,1738566152
38,edinburgh of the seven seas,-37.0676,-12.3116,17.14,93,100,7.96,SH,1738566153
39,qamdo,31.1667,97.2333,8.72,6,0,9.28,CN,1738566154
40,ilulissat,69.2167,-51.1,-21.99,71,99,2.06,GL,1738566156
41,bilibino,68.0546,166.4372,-31.24,99,100,1.96,RU,1738566157
42,iskateley,67.6803,53.1512,-26.75,88,5,4.33,RU,1738566158
43,westport,41.1415,-73.3579,0.11,94,100,1.54,US,1738565951
44,coahuayana de hidalgo,18.7,-103.6583,22.31,45,0,1.63,MX,1738566160
45,punta arenas,-53.15,-70.9167,8.06,71,100,6.17,CL,1738566006
46,calama,-22.4667,-68.9333,13.27,62,0,4.63,CL,1738566163
47,bubaque,11.2833,-15.8333,23.01,39,41,10.09,GW,1738566164
48,avarua,-21.2078,-159.775,26.03,89,49,4.63,CK,1738566165
49,invercargill,-46.4,168.35,15.57,78,35,6.26,NZ,1738566166
50,ribeira grande,38.5167,-28.7,18.22,94,75,10.8,PT,1738566167
51,gualaceo,-2.9,-78.7833,14.65,94,100,1.18,EC,1738566169
52,stanley,54.868,-1.6985,5.01,87,20,1.54,GB,1738566170
53,la'ie,21.6477,-157.9253,22.28,70,2,3.13,US,1738566171
54,balfour,-26.6633,28.5902,24.7,48,95,1.95,ZA,1738566172
55,toliara,-23.35,43.6667,30.16,64,100,3.78,MG,1738566173
56,udachny,66.4167,112.4,-17.5,93,100,11.7,RU,1738566174
57,acapulco de juarez,16.8634,-99.8901,25.9,89,40,1.03,MX,1738566176
58,colares,38.7992,-9.4469,9.63,70,0,8.24,PT,1738566178
59,long beach,33.767,-118.1892,13.01,96,100,1.54,US,1738565910
60,papatowai,-46.5619,169.4708,15.69,82,82,6.08,NZ,1738566180
61,ushuaia,-54.8,-68.3,6.81,76,75,5.66,AR,1738566182
62,pitimbu,-7.4706,-34.8086,25.78,79,30,3.69,BR,1738566183
63,huadian,42.9633,126.7478,-14.26,80,100,4.83,CN,1738566184
64,iqaluit,63.7506,-68.5145,-30.15,67,40,2.57,CA,1738566004
65,obolensk,54.9774,37.2245,-1.61,76,28,2.69,RU,1738566186
66,bredasdorp,-34.5322,20.0403,21.83,53,0,1.75,ZA,1738566187
67,chonchi,-42.6128,-73.8092,8.4,90,48,1.19,CL,1738566189
68,tura,25.5198,90.2201,25.94,26,5,3.03,IN,1738566190
69,margaret river,-33.95,115.0667,22.92,46,2,7.86,AU,1738566191
70,bugene,-1.5911,31.1403,22.31,55,76,0.68,TZ,1738566192
71,belyy yar,53.6039,91.3903,-16.06,85,20,1.0,RU,1738566193
72,lihue,21.9789,-159.3672,20.77,76,75,4.63,US,1738566194
73,vadso,70.0744,29.7487,-5.91,73,20,5.14,NO,1738566196
74,tiksi,71.6872,128.8694,-23.04,94,100,12.38,RU,1738566197
75,aasiaat,68.7098,-52.8699,-20.93,100,100,1.82,GL,1738566198
76,yellowknife,62.456,-114.3525,-28.71,76,75,3.6,CA,1738566199
77,albany,42.6001,-73.9662,-3.05,90,92,0.45,US,1738565969
78,enewetak,11.3474,162.3373,26.99,81,35,9.59,MH,1738566201
79,bethel,41.3712,-73.414,-0.8,86,100,0.89,US,1738566203
80,ingeniero guillermo n. juarez,-23.9,-61.85,25.53,46,0,3.05,AR,1738566204
81,rock springs,41.5875,-109.2029,8.69,42,75,12.35,US,1738566141
82,remire-montjoly,4.9167,-52.2667,24.02,94,75,1.54,GF,1738566206
83,qaqortoq,60.7167,-46.0333,-21.36,90,6,2.12,GL,1738566207
84,angarsk,52.5367,103.8864,-14.5,88,100,3.22,RU,1738566208
85,boise,43.6135,-116.2035,1.12,97,100,0.89,US,1738566210
86,haslett,42.747,-84.4011,1.95,95,100,0.0,US,1738566211
87,longyearbyen,78.2186,15.6401,1.91,69,75,6.17,SJ,1738566212
88,saint-pierre,-21.3393,55.4781,31.82,74,75,6.17,RE,1738566213
89,kapa'a,22.0752,-159.319,21.18,79,75,4.63,US,1738566214
90,altai,46.3722,96.2583,-17.46,87,100,2.64,MN,1738566217
91,suncho corral,-27.9336,-63.4294,25.44,39,0,4.2,AR,1738566218
92,ha tinh,18.3333,105.9,18.02,94,100,7.17,VN,1738566036
93,whitehorse,60.7161,-135.0538,-16.57,85,100,1.54,CA,1738566220
94,eldama ravine,0.0516,35.7308,19.64,43,5,3.39,KE,1738566221
95,novobod,39.0108,70.1508,-1.03,64,91,2.26,TJ,1738566222
96,katsuren-haebaru,26.3369,127.8719,16.01,73,100,7.2,JP,1738566224
97,wuyishan,28.0047,117.8114,7.76,79,100,2.81,CN,1738566225
98,katsuura,35.1333,140.3,10.21,74,100,3.42,JP,1738566226
99,rafaela,-31.2503,-61.4867,24.99,44,0,0.45,AR,1738566227
100,coari,-4.085,-63.1414,23.31,92,99,1.26,BR,1738566228
101,geraldton,-28.7667,114.6,29.23,54,0,11.32,AU,1738566078
102,kirakira,-10.4544,161.9205,28.37,74,100,5.22,SB,1738566231
103,afaahiti,-17.75,-149.2833,26.49,76,100,5.01,PF,1738566232
104,karratha,-20.7377,116.8463,34.33,56,100,6.26,AU,1738566233
105,ryotsu-minato,38.0833,138.4333,6.32,86,100,8.94,JP,1738566234
106,bolivar,37.6145,-93.4105,12.75,66,59,4.49,US,1738566186
107,pundong,-7.9522,110.3486,30.4,63,100,3.46,ID,1738566236
108,mount isa,-20.7333,139.5,28.87,70,100,3.09,AU,1738566238
109,prineville,44.2999,-120.8345,0.27,76,100,0.0,US,1738566239
110,polyarnyy,69.1989,33.4478,-16.03,96,64,3.36,RU,1738566240
111,thompson,55.7435,-97.8558,-19.91,77,100,5.14,CA,1738566241
112,zardob,40.2183,47.7083,9.45,67,0,0.87,AZ,1738566242
113,wailua homesteads,22.0669,-159.378,20.44,80,75,4.63,US,1738566243
114,uturoa,-16.7333,-151.4333,27.72,75,15,3.66,PF,1738566244
115,west island,-12.1568,96.8225,30.99,70,75,7.72,CC,1738566246
116,hawaiian paradise park,19.5933,-154.9731,19.29,92,54,5.0,US,1738566248
117,namtsy,62.7161,129.6658,-33.22,97,100,0.91,RU,1738566249
118,la palma,33.8464,-118.0467,13.01,86,100,1.54,US,1738566250
119,port augusta,-32.5,137.7667,39.81,19,31,10.09,AU,1738566251
120,filey,54.21,-0.2892,4.6,5,100,0.45,GB,1738566252
121,tvoroyri,61.5556,-6.8111,9.6,92,100,18.33,FO,1738566254
122,olonkinbyen,70.9221,-8.7187,-0.25,87,100,9.93,SJ,1738566255
123,codrington,-38.2667,141.9667,26.07,63,14,2.7,AU,1738566256
124,kununurra,-15.7667,128.7333,37.99,44,100,3.6,AU,1738566257
125,susuman,62.7833,148.1667,-42.98,99,71,0.66,RU,1738566233
126,akureyri,65.6835,-18.0878,0.96,93,75,3.09,IS,1738566259
127,kasama,-10.2129,31.1808,20.11,90,93,2.57,ZM,1738566075
128,kikwit,-5.041,18.8162,22.18,92,100,0.43,CD,1738566262
129,independence,39.0911,-94.4155,11.71,69,0,0.0,US,1738566035
130,salekhard,66.53,66.6019,-24.74,95,99,6.95,RU,1738566264
131,princeville,45.7668,-61.2985,-10.94,75,100,0.0,CA,1738566266
132,dolinsk,47.35,142.8,-8.13,96,100,1.91,RU,1738566267
133,blackmans bay,-43.0167,147.3167,31.4,36,92,2.13,AU,1738566268
134,fortaleza,-3.7227,-38.5247,28.07,78,40,5.66,BR,1738566143
135,juegang,32.3174,121.1855,4.8,47,94,7.0,CN,1738566270
